query_id,query_size,query_num_token,num_result,duration,preproc_duration,num_set_read,num_list_read,num_byte_read,max_set_size_read,max_list_size_read,max_counter_size,max_ignore_size,actions,results,benefit_cost,lsh_duration,lsh_precision
834983,10,10,10,194,1,0,3,0,0,96162,0,1,,s526579o9s2001397o1s1128381o1s2514464o1s589218o1s810946o1s2348053o1s1462976o1s1642069o1s1575536o1,,0,0
911403,29,29,10,190,1,11,29,0,18,53585,6551,17,,s911402o28s1552709o23s1552716o22s911404o22s911009o21s1552865o21s1552713o21s1552807o21s1552718o20s1552811o20,,0,0
1534132,11,11,10,147,0,0,11,0,0,53585,0,1,,s1553455o9s1554704o9s1639475o9s909717o9s909716o9s909846o9s1553466o9s909394o8s909392o8s909393o8,,0,0
599327,35,34,10,384,1,1,32,0,32,96162,761,2,,s1185859o21s2492803o20s641636o18s2068071o17s1923600o17s2068067o17s2103611o17s2492804o17s2068078o17s2068082o16,,0,0
949812,11,11,10,170,1,0,11,0,0,96162,0,1,,s1955784o11s2127935o11s1954032o11s949807o11s1954521o11s1946772o10s429011o10s1174069o10s1946358o10s1950560o10,,0,0
1410228,19,19,10,323,1,0,19,0,0,53585,0,1,,s1418363o17s2660243o17s1418323o17s1418286o17s1563532o16s1425933o16s2613630o16s625921o16s2622425o16s1426002o16,,0,0
1173033,51,4,10,204,1,0,4,0,0,96162,0,1,,s1831458o2s1293910o2s1610434o2s1225429o2s1851993o2s1888802o2s641586o2s2088531o2s690845o2s326255o2,,0,0
1173592,11,11,10,225,1,0,11,0,0,53585,0,1,,s984036o10s2007893o10s859967o10s454651o10s529585o10s1205261o10s1019638o10s2213953o10s94670o10s1768591o10,,0,0
1465370,12,12,10,211,0,0,12,0,0,53585,0,1,,s701356o12s2012638o12s1735906o12s2132230o12s994318o12s1276880o12s1729955o12s1751640o12s1442624o11s2449643o11,,0,0
1542414,7,7,10,177,0,0,3,0,0,96162,0,1,,s158317o6s958204o1s2035266o1s2327964o1s2467599o1s935304o1s1224574o1s2592968o1s2166753o1s2620747o1,,0,0
587433,46,35,10,205,1,3,32,0,905,96162,36,4,,s584753o30s584231o26s594303o21s584228o20s585594o19s585241o16s589686o14s584826o13s586373o11s590715o9,,0,0
1153442,17,15,10,159,1,0,13,0,0,96162,0,1,,s992459o11s1020167o8s1828781o5s2396950o4s2498323o4s566465o3s300183o3s589494o3s566463o3s1165567o2,,0,0
577401,25,25,10,181,1,1,24,0,527,96162,134,2,,s581762o25s583680o17s583738o17s577470o15s584413o14s581359o14s577495o14s580914o13s577177o13s581268o13,,0,0
